	bin	env	Random	spat	R2
53	WH2.bin19	0.460580037	0.22230191	0.317118053	0.853438753
394	WH2.bin113	0.155136316	0.195068778	0.649794905	0.851887462
72	MAS3.bin20	0.443833592	0.262924851	0.293241557	0.851416983
353	WH5.bin21	0.205689738	0.059710144	0.734600118	0.85090235
216	WH3.bin4	0.327118094	0.325985854	0.346896052	0.850099416
77	LSA5.bin69	0.439306926	0.33753193	0.223161144	0.848918577
46	WH2.bin26	0.47069928	0.328036892	0.201263828	0.848531461
283	WH4.bin22	0.276144936	0.406602045	0.31725302	0.846589066
318	WH2.bin75	0.245256483	0.25235643	0.502387086	0.846199016
163	YS3.bin24	0.365656953	0.1901188	0.444224248	0.84488541
99	FK1.bin74	0.416726356	0.096423583	0.486850061	0.844456243
48	TL1-2.bin32	0.469710888	0.398352592	0.13193652	0.843651495
392	YF3.bin46	0.158282828	0.101698694	0.740018478	0.843079831
122	JA6.bin36	0.399086522	0.363677755	0.237235723	0.83947496
47	LSA4.bin68	0.469907493	0.194878554	0.335213953	0.838981825
396	YS2.bin7	0.153250559	0.174893252	0.671856189	0.836958924
